Title,Company,Location,Details
AI & Data Scientist Intern,Refonte Learning,NAMER (Remote),"About the jobRefonte Infini is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in Artificial intelligence (AI), digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Job Title:AI, Data Science, DevOps, and Cloud InternBenefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team.Learn More:https://refontelearning.comJob Summary:Refonte Learning is seeking enthusiastic individuals for our prestigious AI & Data Science Study and Internship Program. This intensive initiative offers a unique opportunity to collaborate closely with our seasoned AI & data science team on diverse and impactful projects.Refonte Learning is seeking enthusiastic individuals who are looking to learn AI & Data Science from beginning to advanced level while also working on live projects globally. RIGTIP (Refonte Infini Global Training & Internship Program) is designed as a manner that offers you to work in a flexible work environment but also offers working with people in a global team from Oceania, Asia, Europe and American continents.Job Description:We are excited to offer an internship opportunity for individuals passionate about the convergence of AI, Data Science, DevOps, and Cloud technologies. As an AI, Data Science, DevOps, and Cloud Intern, you will have the unique opportunity to gain hands-on experience in these dynamic and interconnected fields, working on innovative projects and collaborating with experienced professionals.Responsibilities:Collaborate with cross-functional teams to develop, deploy, and maintain AI-driven solutions.Assist in collecting, cleaning, and analyzing data from various sources to derive actionable insights.Contribute to the design and implementation of scalable data pipelines for model training and deployment.Support the integration of machine learning models into production systems using DevOps best practices.Participate in designing and optimizing CI/CD pipelines for continuous integration, testing, and deployment of AI applications on cloud platforms.Assist in infrastructure provisioning, configuration, and monitoring using cloud services such as AWS, Azure, or Google Cloud.Work closely with data scientists and engineers to understand business requirements and translate them into technical solutions.Research and experiment with emerging technologies and tools in AI, Data Science, DevOps, and Cloud domains.Collaborate on documentation efforts to ensure knowledge sharing and best practices across the team.Projects You Will Work On:- Multi Cloud AI Infrastructure Configuration, Automation and Deployment- Full Stack AI DevOps & Development- Generative AI model, Large Language Models and Foundations models to transform input to output.NB: Input can be text, images, audios or videos; Output can also be text, images, audios or videos- Finance Fraud Detection: Develop advanced fraud detection algorithms leveraging financial data analysis.- Recommender System: Contribute to personalized recommendation systems, enhancing user experiences across platforms.- Sentiment Analysis: Explore sentiment analysis to extract insights from textual data, shaping user sentiment understanding.- Chatbots: Engage in intelligent chatbot development, revolutionizing customer interactions and support.- Image/Audio Video Classification: Push boundaries with multimedia technology by working on image and audio video classification projects.- Text Analysis: Uncover hidden patterns in textual data through sophisticated text analysis techniques.Roles & Responsibilities:- Collaborate with our esteemed AI & data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Contribute to the development of predictive models and algorithms, employing cutting-edge machine learning techniques to solve real-world challenges.- Work closely with team members to design, implement, and evaluate experiments, fostering a collaborative and innovative environment.- Stay updated with the latest industry trends and best practices in data science, applying newfound knowledge to enhance project outcomes.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Benefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team.Note:This position is part of ourunpaidAI & Data Science Study and Internship Program. Upon application, our team will contact you to proceed with the application details and joining process.Location:Remote, North AmericaContact:To explore the exciting world of data science with us, please contact us at admin@refontelearning.comThank you for considering Refonte Infini Private Limited for your professional development in the field of data science. We look forward to welcoming you to our dynamic team."
AI & Data Science Training & Internship,Refonte Technologies,United States (Remote),"About the jobRefonte Infini is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in Artificial intelligence (AI), digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Job Title:AI, Data Science, DevOps, and Cloud InternBenefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team.Learn More:https://refontelearning.comJob Summary:Refonte Learning is seeking enthusiastic individuals for our prestigious AI & Data Science Study and Internship Program. This intensive initiative offers a unique opportunity to collaborate closely with our seasoned AI & data science team on diverse and impactful projects.Refonte Learning is seeking enthusiastic individuals who are looking to learn AI & Data Science from beginning to advanced level while also working on live projects globally. RIGTIP (Refonte Infini Global Training & Internship Program) is designed as a manner that offers you to work in a flexible work environment but also offers working with people in a global team from Oceania, Asia, Europe and American continents.Job Description:We are excited to offer an internship opportunity for individuals passionate about the convergence of AI, Data Science, DevOps, and Cloud technologies. As an AI, Data Science, DevOps, and Cloud Intern, you will have the unique opportunity to gain hands-on experience in these dynamic and interconnected fields, working on innovative projects and collaborating with experienced professionals.Responsibilities:Collaborate with cross-functional teams to develop, deploy, and maintain AI-driven solutions.Assist in collecting, cleaning, and analyzing data from various sources to derive actionable insights.Contribute to the design and implementation of scalable data pipelines for model training and deployment.Support the integration of machine learning models into production systems using DevOps best practices.Participate in designing and optimizing CI/CD pipelines for continuous integration, testing, and deployment of AI applications on cloud platforms.Assist in infrastructure provisioning, configuration, and monitoring using cloud services such as AWS, Azure, or Google Cloud.Work closely with data scientists and engineers to understand business requirements and translate them into technical solutions.Research and experiment with emerging technologies and tools in AI, Data Science, DevOps, and Cloud domains.Collaborate on documentation efforts to ensure knowledge sharing and best practices across the team.Projects You Will Work On:- Multi Cloud AI Infrastructure Configuration, Automation and Deployment- Full Stack AI DevOps & Development- Generative AI model, Large Language Models and Foundations models to transform input to output.NB: Input can be text, images, audios or videos; Output can also be text, images, audios or videos- Finance Fraud Detection: Develop advanced fraud detection algorithms leveraging financial data analysis.- Recommender System: Contribute to personalized recommendation systems, enhancing user experiences across platforms.- Sentiment Analysis: Explore sentiment analysis to extract insights from textual data, shaping user sentiment understanding.- Chatbots: Engage in intelligent chatbot development, revolutionizing customer interactions and support.- Image/Audio Video Classification: Push boundaries with multimedia technology by working on image and audio video classification projects.- Text Analysis: Uncover hidden patterns in textual data through sophisticated text analysis techniques.Roles & Responsibilities:- Collaborate with our esteemed AI & data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Contribute to the development of predictive models and algorithms, employing cutting-edge machine learning techniques to solve real-world challenges.- Work closely with team members to design, implement, and evaluate experiments, fostering a collaborative and innovative environment.- Stay updated with the latest industry trends and best practices in data science, applying newfound knowledge to enhance project outcomes.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Benefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team.Note:This position is part of ourunpaidAI & Data Science Study and Internship Program. Upon application, our team will contact you to proceed with the application details and joining process.Location:Remote, United States of AmericaContact:To explore the exciting world of data science with us, please contact us at admin@refontelearning.comThank you for considering Refonte Infini Private Limited for your professional development in the field of data science. We look forward to welcoming you to our dynamic team."
AI & Data Science Internship,Refonte Learning,United States (Remote),"About the jobRefonte Infini is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in Artificial intelligence (AI), digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Job Title:AI, Data Science, DevOps, and Cloud InternBenefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team.Learn More:https://refontelearning.comJob Summary:Refonte Learning is seeking enthusiastic individuals for our prestigious AI & Data Science Study and Internship Program. This intensive initiative offers a unique opportunity to collaborate closely with our seasoned AI & data science team on diverse and impactful projects.Refonte Learning is seeking enthusiastic individuals who are looking to learn AI & Data Science from beginning to advanced level while also working on live projects globally. RIGTIP (Refonte Infini Global Training & Internship Program) is designed as a manner that offers you to work in a flexible work environment but also offers working with people in a global team from Oceania, Asia, Europe and American continents.Job Description:We are excited to offer an internship opportunity for individuals passionate about the convergence of AI, Data Science, DevOps, and Cloud technologies. As an AI, Data Science, DevOps, and Cloud Intern, you will have the unique opportunity to gain hands-on experience in these dynamic and interconnected fields, working on innovative projects and collaborating with experienced professionals.Responsibilities:Collaborate with cross-functional teams to develop, deploy, and maintain AI-driven solutions.Assist in collecting, cleaning, and analyzing data from various sources to derive actionable insights.Contribute to the design and implementation of scalable data pipelines for model training and deployment.Support the integration of machine learning models into production systems using DevOps best practices.Participate in designing and optimizing CI/CD pipelines for continuous integration, testing, and deployment of AI applications on cloud platforms.Assist in infrastructure provisioning, configuration, and monitoring using cloud services such as AWS, Azure, or Google Cloud.Work closely with data scientists and engineers to understand business requirements and translate them into technical solutions.Research and experiment with emerging technologies and tools in AI, Data Science, DevOps, and Cloud domains.Collaborate on documentation efforts to ensure knowledge sharing and best practices across the team.Projects You Will Work On:- Multi Cloud AI Infrastructure Configuration, Automation and Deployment- Full Stack AI DevOps & Development- Generative AI model, Large Language Models and Foundations models to transform input to output.NB: Input can be text, images, audios or videos; Output can also be text, images, audios or videos- Finance Fraud Detection: Develop advanced fraud detection algorithms leveraging financial data analysis.- Recommender System: Contribute to personalized recommendation systems, enhancing user experiences across platforms.- Sentiment Analysis: Explore sentiment analysis to extract insights from textual data, shaping user sentiment understanding.- Chatbots: Engage in intelligent chatbot development, revolutionizing customer interactions and support.- Image/Audio Video Classification: Push boundaries with multimedia technology by working on image and audio video classification projects.- Text Analysis: Uncover hidden patterns in textual data through sophisticated text analysis techniques.Roles & Responsibilities:- Collaborate with our esteemed AI & data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Contribute to the development of predictive models and algorithms, employing cutting-edge machine learning techniques to solve real-world challenges.- Work closely with team members to design, implement, and evaluate experiments, fostering a collaborative and innovative environment.- Stay updated with the latest industry trends and best practices in data science, applying newfound knowledge to enhance project outcomes.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Benefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team.Note:This position is part of ourunpaidAI & Data Science Study and Internship Program. Upon application, our team will contact you to proceed with the application details and joining process.Location:Remote, United States of AmericaContact:To explore the exciting world of data science with us, please contact us at admin@refontelearning.comThank you for considering Refonte Infini Private Limited for your professional development in the field of data science. We look forward to welcoming you to our dynamic team."
Paid Intern- Python Bootcamp,Nebula Academy,United States (Remote),"About the jobNebula Academy is a leading technology company committed to fostering talent and innovation in the software engineering field. We believe in providing opportunities for aspiring software engineers to kickstart their careers through our intensive Python Bootcamp.Position Overview:We are seeking motivated individuals to join our Python Bootcamp, with the promise of a $400 stipend upon successful graduation, based on metrics being met. This program is designed to equip you with the skills and knowledge necessary to excel in the world of software development.Key Responsibilities:1. Participation in the Python Bootcamp: Attend and actively engage in our comprehensive online python bootcamp program. This program will cover a wide range of topics including variables, data types, operators, and Python's powerful data structures like lists, tuples, and dictionaries.2. Hands-On Projects: Work on real-world python projects under the guidance of experienced mentors and instructors. Collaborate with fellow bootcamp participants to develop practical coding skills and gain valuable project experience.3. Continuous Learning: Stay committed to continuous learning and skill development throughout the bootcamp duration. Show dedication to improving your coding abilities and problem-solving skills.4. Team Collaboration: Collaborate effectively within a team environment, participating in group projects and peer code reviews. Foster a culture of teamwork, communication, and knowledge sharing.5. Graduation Requirements: Successfully complete all required coursework, projects, certifications and assessments to meet the bootcamp's graduation criteria.6. Post-Graduation Transition: Upon successfully completing the bootcamp, Nebula Academy offers comprehensive job support services to assist you in securing a position as a python developer. These services encompass resume preparation, portfolio guidance, mock interview sessions, LinkedIn profile optimization, and more.Qualifications:Passion to learn software development and a strong desire to learn and grow as a python developer.Excellent problem-solving and analytical skills.Strong communication and collaboration abilities.Willingness to commit to the intensive bootcamp program and meet all graduation requirements.NYS residentCurrently underemployed or unemployedLooking to reskill to get into techOver 18 years oldBenefits:A $400 stipend upon successful graduation from the bootcamp.Comprehensive training and mentorship throughout the bootcamp.Exposure to real-world software development projects.Access to a supportive and collaborative learning environment, and job networkA chance to win a laptopTo apply for the Python Bootcamp, please submit your resume and a cover letter expressing your interest and motivation for joining the program. Shortlisted candidates will be invited for interviews and technical assessments. PLEASE APPLY HERE: https://www.nebulaacademy.com/coding-python"
AI & Data Engineering Intern,Refonte Technologies,United States (Remote),"About the jobRefonte Infini is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in digital marketing, data science, data analytics, business analytics, cyber security, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide. Our main goal is to use Gen AI, Prompt Engineering and AI Foundations Models to understand any varieties of data.Learn More:https://refontelearning.com/Job Summary:Refonte Infini is seeking enthusiastic individuals who are looking to learn with us in the field of Data Engineering while working on live projects internationally. We are not just offering a flexible work environment but also offering to work with people in a global team all around from Oceania, Asia, Europe, & American continents.Projects You Will Work On:- Prompt Engineering- Gen AI- Data Warehousing- ETL (Extract, Transform, Load) Processes- Data Modelling and Database Management- Data Pipeline Development- Data Quality Assurance- Big Data Technologies (e.g., Hadoop, Spark)- Data VisualizationRoles & Responsibilities:- Collaborate with our AI team to train our models with Prompt Engineering- Assist to develop Gen AI models- Contribute in the development of AI Foundations Models- Collaborate with experienced data engineering professionals and global team members.- Participate in designing and implementing data warehousing solutions.- Develop and maintain ETL processes to ensure efficient data flow.- Contribute to data modelling efforts for optimized database structures.- Assist in building and maintaining data pipelines for real-time and batch processing.- Conduct quality assurance checks to ensure data accuracy and consistency.- Explore and utilize big data technologies for scalable data processing.- Create visually appealing data visualizations to communicate insights effectively.Qualifications:- Currently pursuing a degree in Computer Science, Engineering, or related fields, demonstrating a strong commitment to continuous learning and professional growth.- Proficient in programming languages such as Python, Java, or SQL.- Familiarity with database management systems (e.g., MySQL, PostgreSQL).- Strong analytical and problem-solving skills, with attention to detail.- Excellent written and verbal communication skills, essential for effective collaboration and conveying complex concepts.- Ability to work independently and as part of a team, showcasing adaptability and strong teamwork capabilities.Note:This position is unpaid. After submitting your application, our team will contact you to proceed with the application details and joining process.Location:Remote, United States of AmericaContact:To embark on an exciting journey in AI & Data Engineering with us, please contact us at contact@refontelearning.com."
Data Science Intern,Oeson | Learning,United States (Remote),"About the jobAbout the Company:Oeson is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Learn More:www.oesonlearning.comJob Summary:Oeson is seeking enthusiastic individuals who are looking to learn with us in the field of Data Science while working on live projects internationally. We are not just offering a flexible work environment but also offering to work with people in a global team.Projects You Will Work On:- Finance Fraud Detection:Develop advanced fraud detection algorithms leveraging financial data analysis.- Recommender System:Contribute to personalized recommendation systems, enhancing user experiences across platforms.- Sentiment Analysis:Explore sentiment analysis to extract insights from textual data, shaping user sentiment understanding.- Chatbots:Engage in intelligent chatbot development, revolutionizing customer interactions and support.- Image/Audio Video Classification:Push boundaries with multimedia technology by working on image and audio video classification projects.- Text Analysis:Uncover hidden patterns in textual data through sophisticated text analysis techniques.Roles & Responsibilities:- Collaborate with our esteemed data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Contribute to the development of predictive models and algorithms, employing cutting-edge machine learning techniques to solve real-world challenges.- Work closely with team members to design, implement, and evaluate experiments, fostering a collaborative and innovative environment.- Stay updated with the latest industry trends and best practices in data science, applying newfound knowledge to enhance project outcomes.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Note:This position is unpaid. After submitting your application, our team will contact you to proceed with the application details and joining process.Location:Remote, United StateContact:To explore the exciting world of data science with us, please contact us here."
Data Scientist,kipi.bi,United States (Remote),"About the job100% RemoteAbout Kipi.Bi:Join an award-winning organization that's dedicated to empowering their employees to push boundaries and deliver excellence.Kipi.Bi is an Elite Snowflake Consulting Partner and the trusted source of data and analytics solutions for commercial, mid-market, enterprise, and strategic customers. As a leading service provider and expert in Snowflake, we're on a mission to help our clients deliver value and enable their businesses to thrive. From start-to-finish, we’re committed to ensuring their business has the tools and support it needs to drive powerful data analytics and insights. Become a kipian and discover how together, we can help customers across every industry increase agility and create long-term success.Job Summary:We are seeking a passionate entry-level Data Scientist to join our team. If you are enthusiastic about transforming data into strategic insights and eager to start your career in data science, this role is perfect for you. You will be involved in developing and implementing machine learning models, performing data analysis, and collaborating with cross-functional teams to drive business growth.Key Responsibilities:● Collect, preprocess, and analyze datasets to uncover trends and insights.● Develop and implement machine learning models and algorithms to solve business problems.● Create and maintain data pipelines to ensure seamless data flow across systems.● Visualize data and present findings using tools like Tableau, Power BI, or similar.● Collaborate with cross-functional teams to understand business needs and provide data-drivensolutions.● Communicate complex analytical concepts effectively to non-technical stakeholders.● Stay updated with the latest developments in data science and machine learning.Basic Qualifications:● Bachelor’s degree in Data Science, Statistics, Mathematics, Computer Science, or a related field.● Strong analytical and problem-solving skills with attention to detail.● Experience in programming languages such as Python or R (coursework or projects included).● Familiarity with machine learning libraries and frameworks (e.g., scikit-learn, TensorFlow,PyTorch).● Knowledge of SQL for data extraction and manipulation.● Experience with data visualization tools such as Tableau, Power BI, or similar (coursework orprojects included).● Excellent communication skills, both written and verbal.● Ability to work independently and collaboratively in a fast-paced environment.● Enthusiastic approach to tackling data challenges.Preferred Qualifications:● Willingness to learn more about machine learning and AI concepts.● Strong communication and organizational skills.● Internship or project experience in data science or related fields.What We Offer:● 401K with Company match.● Comprehensive Health, Vision, and Dental Insurance.● Unlimited PTO to foster work-life balance.● Engaging and vibrant company culture.Kipi.bi is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
Entry Level - Research Data Analyst (Remote) Immediate,Herr Alexander Wunsch,"New York, NY (Remote)","About the jobApply here Directly: https://bit.ly/4arTJEXCandidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/4arTJEXQualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/4arTJEXRequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply here Directly: https://bit.ly/4arTJEXBenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/4arTJEX"
Data Analytics Training & Intern,Refonte Technologies,United States (Remote),"About the jobRefonte Technology is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Learn More:https://refontelearning.com/Job Summary:Refonte Technology is offering a chance for eager individuals seeking to master Data Analytics from basic to advanced levels, all while engaging in real-world projects across the globe. Our program is structured to provide a flexible work setting, allowing participants to collaborate with a diverse global team spanning Oceania, Asia, Europe, and the Americas.Projects You Will Work On:Excel project:Visualize hospital dataset using ExcelStatistical project:Analyze live stock price data to study company stock behavior.EDA case study:Apply EDA techniques in risk analytics for minimizing lending risk.Bike-sharing system analysis:Examine bike-sharing data and usage patterns.IPL data analysis:Analyze data from the Indian Premier League cricket tournament.Data findings communication:Present summarized results and key insights from projects.Global movie release:Plan to release a movie globally in 2024 by RSVP Movies.Roles & Responsibilities:- Collaborate with our esteemed data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Utilize machine learning and data mining techniques to extract insights from large datasets, including Excel interface structure identification. ·- Apply Python programming skills for Exploratory Data Analysis (EDA) in real business scenarios, focusing on risk analytics in banking and financial services. ·- Design scientific tests and optimize model performance using the latest modeling technologies like no-code databases and data mining.- Collaborate with a team of experts to build machine learning pipelines for diverse use cases in commerce, financial markets, and procurement.- Work with internal stakeholders to explore and understand business data, formulate hypotheses, and measure the impact of strategies using techniques like T-tests.-Solve specific challenges and develop innovative solutions by adapting modeling technologies like bike share systems.-Learn and apply complex analytical techniques using tools like Tableau.- Prepare reports and presentations to effectively communicate data analysis processes and results.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Note:This position is part of our unpaid “Data Analytics Training and Intern” under Refonte Technology. Upon application, our team will contact you to proceed with the application details and joining process.Location:Remote, United StatesContact:To explore the exciting world of Data Analytics with us, please contact us at contact@refontelearning.comThank you for considering Refonte Technology for your professional development in the field of data analytics. We look forward to welcoming you to our dynamic team."
Entry Level - Research Data Analyst (Remote) Immediate,Herr Alexander Wunsch,"Los Angeles, CA (Remote)","About the jobApply here Directly: https://bit.ly/4arTJEXCandidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/4arTJEXQualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerRequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentBenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/4arTJEX"
